step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,41,1,0.33695209834939627,0.0,0.0,0.2794274168477045,0.0,0.0,,
2,90,2,0.283276943859921,0.0,0.0,,,,,
3,123,3,0.3446218063047786,0.0,0.0,,,,,
4,164,4,0.21079195965128475,0.0,0.0,,,,,
5,229,5,0.22894033910858186,0.0,0.0,,,,,
6,294,6,0.16352524225024057,0.0,0.0,,,,,
7,351,7,0.12234578243577168,0.0,0.0,,,,,
8,384,8,0.3040709220124779,0.0,0.0,,,,,
9,417,9,0.2762831579165322,0.0,0.0,0.07063196581759075,0.0,0.0,,
10,482,10,0.11423151710316234,0.0,0.0,,,,,
11,507,11,0.41658385159976585,0.0,0.0,,,,,
12,548,12,0.19380931739507057,0.0,0.0,,,,,
13,613,13,0.11680315253305708,0.0,0.0,,,,,
14,654,14,0.06354766559765722,0.0,0.0,,,,,
15,727,15,0.05175906836532704,0.0,0.0,,,,,
16,792,16,0.1276955475805775,0.0,0.0,,,,,
17,841,17,0.28761465606684267,0.0,0.5,0.03712886167568816,0.0,0.0,,
18,906,18,0.11190490872219824,0.0,0.0,,,,,
19,947,19,0.088597907173933,0.0,0.0,,,,,
20,988,20,0.17014292966829453,0.0,0.5,,,,,
21,1069,21,0.054565958155686316,0.0,0.0,,,,,
22,1094,22,0.16848973320404786,0.0,0.0,,,,,
23,1135,23,0.27201448771651965,0.0,0.0,,,,,
24,1168,24,0.18040347872376686,0.0,0.0,,,,,
25,1241,25,0.1238159421440408,0.0,0.0,0.07094550229562288,0.0,0.0,,
26,1298,26,0.07623413072255061,0.0,0.0,,,,,
27,1355,27,0.0441750140506569,1.0,1.0,,,,,
28,1420,28,0.07254937444823867,0.0,0.0,,,,,
29,1469,29,0.06360745426229186,0.0,0.0,,,,,
30,1518,30,0.06720421888726075,0.0,0.0,,,,,
31,1567,31,0.053925164820667906,0.0,0.0,,,,,
32,1624,32,0.13425779621458267,0.0,0.0,,,,,
33,1681,33,0.049027885805670454,1.0,1.0,0.0512214848321537,0.0,0.0,,
34,1714,34,0.06349993434283534,1.0,1.0,,,,,
35,1747,35,0.05924915274918248,1.0,1.0,,,,,
36,1804,36,0.0329844835411229,1.0,1.0,,,,,
37,1837,37,0.19369059824452506,0.0,0.0,,,,,
38,1910,38,0.08368617650354279,0.0,0.0,,,,,
39,1959,39,0.018110628983819575,1.0,1.0,,,,,
40,2016,40,0.09838330729145679,0.0,0.0,,,,,
41,2073,41,0.02678742473946061,1.0,1.0,0.04261695575435234,0.0,0.0,,
42,2138,42,0.08088115127123388,0.0,0.0,,,,,
43,2195,43,0.06404421804075225,0.0,0.0,,,,,
44,2276,44,0.018271526578847445,1.0,1.0,,,,,
45,2349,45,0.03606119551526515,1.0,1.0,,,,,
46,2414,46,0.014920854815570976,1.0,1.0,,,,,
47,2447,47,0.023354405938071636,1.0,1.0,,,,,
48,2512,48,0.045931465988137465,0.0,0.0,,,,,
49,2577,49,0.03473386355114599,0.0,0.0,0.056208989039952945,1.0,1.0,,
50,2626,50,0.03691292892144703,1.0,1.0,,,,,
51,2699,51,0.07124465758322508,0.0,0.0,,,,,
52,2756,52,0.0231214671166796,1.0,1.0,,,,,
53,2813,53,0.1154633901978351,0.0,0.0,,,,,
54,2878,54,0.02972414912031127,0.0,0.0,,,,,
55,2951,55,0.028488955969493572,1.0,1.0,,,,,
56,2992,56,0.03539975276635959,1.0,1.0,,,,,
57,3033,57,0.03017243688359668,1.0,1.0,0.02149656306194174,1.0,1.0,,
58,3050,58,0.49005989445839077,0.0,0.0,,,,,
59,3099,59,0.06552212693966794,0.0,0.0,,,,,
60,3164,60,0.04156992257018459,0.0,0.0,,,,,
61,3221,61,0.07618640904759558,0.0,0.0,,,,,
62,3254,62,0.0763197490155875,0.0,0.0,,,,,
63,3327,63,0.013862429575525664,1.0,1.0,,,,,
64,3400,64,0.07321851691245429,0.0,0.0,,,,,
65,3473,65,0.01660017155950495,1.0,1.0,0.036454958255817474,1.0,1.0,,
66,3538,66,0.03073305769910803,1.0,1.0,,,,,
67,3619,67,0.021221754535180708,1.0,1.0,,,,,
68,3676,68,0.14038227033076425,0.0,0.0,,,,,
69,3733,69,0.044746057063124935,0.0,0.0,,,,,
70,3782,70,0.07706633642955693,0.0,0.5,,,,,
71,3831,71,0.07034194630257842,0.0,0.0,,,,,
72,3872,72,0.020175421266158084,1.0,1.0,,,,,
73,3913,73,0.07845351511546322,0.0,0.0,0.04959648123165152,0.0,0.0,,
74,3970,74,0.10629068307666265,0.0,0.0,,,,,
75,3995,75,0.1777703604192841,0.0,0.0,,,,,
76,4044,76,0.09295388897628677,0.0,0.0,,,,,
77,4101,77,0.08731858481467626,0.0,0.0,,,,,
78,4174,78,0.012378152594078023,1.0,1.0,,,,,
79,4207,79,0.02148229996626412,1.0,1.0,,,,,
80,4264,80,0.044896273164166424,1.0,1.0,,,,,
81,4289,81,0.03359519382861132,1.0,1.0,0.01914155923058085,1.0,1.0,,
82,4322,82,0.23298753218565255,0.0,0.0,,,,,
83,4355,83,0.3304441292830415,0.0,0.0,,,,,
84,4412,84,0.01935512991908776,1.0,1.0,,,,,
85,4469,85,0.09780271506898965,0.0,0.0,,,,,
86,4526,86,0.05210835233430511,0.0,0.0,,,,,
87,4551,87,0.0569158256401109,1.0,1.0,,,,,
88,4632,88,0.025271090690745037,1.0,1.0,,,,,
89,4681,89,0.05467720749872872,0.0,0.0,0.21787936019793652,0.0,0.0,,
90,4746,90,0.05045001800551745,0.0,0.0,,,,,
91,4787,91,0.1505901958629438,0.0,0.0,,,,,
92,4820,92,0.05333994598892787,1.0,1.0,,,,,
93,4885,93,0.02814010381927915,1.0,1.0,,,,,
94,4926,94,0.07055895847128706,0.0,0.5,,,,,
95,4959,95,0.2848323711397825,0.0,0.0,,,,,
96,5016,96,0.06300623029673343,0.0,0.0,,,,,
97,5081,97,0.09556277355719431,0.0,0.0,0.08810021298534594,0.0,0.5,,
98,5106,98,0.23690304975874216,0.0,0.0,,,,,
99,5139,99,0.020808109474455706,1.0,1.0,,,,,
100,5212,100,0.02394626832027269,1.0,1.0,,,,,
101,5277,101,0.03880937712221112,1.0,1.0,,,,,
102,5302,102,0.2860719979637846,0.0,0.0,,,,,
103,5359,103,0.09553307975879372,0.0,0.0,,,,,
104,5400,104,0.05006879665586166,1.0,1.0,,,,,
105,5433,105,0.09893944676663521,0.0,0.0,0.04541581009249058,1.0,1.0,,
106,5490,106,0.06964295041093334,0.0,0.0,,,,,
107,5539,107,0.07416450906661338,0.0,0.0,,,,,
108,5580,108,0.023741371267950857,1.0,1.0,,,,,
109,5613,109,0.043695797608588695,1.0,1.0,,,,,
110,5670,110,0.052538736366858366,1.0,1.0,,,,,
111,5743,111,0.019918606009424467,1.0,1.0,,,,,
112,5808,112,0.032626714599840054,1.0,1.0,,,,,
113,5865,113,0.10674159291647291,0.0,0.0,0.05944952859881595,0.0,0.0,,
114,5978,114,0.061812531679910306,0.0,0.0,,,,,
115,6011,115,0.014383203952450005,1.0,1.0,,,,,
116,6028,116,0.29064106691228514,0.0,0.0,,,,,
117,6069,117,0.03424582177668344,1.0,1.0,,,,,
